city,state,place,countrycode,lat,long,subarea
Prakasam,Andhra Pradesh,Prakasam,IN,15.72503833,79.84761167,Madhavaram
Bishnupur,Manipur Haotak,Khullen,IN,24.8417,93.7619,Nil
Puruliya,West Bengal,Tentlow,IN,24.05,87.6874,Balarampur
Banas,Kantha Gujarat,Disa,IN,24.1802,71.9526,Disa
,Nacional Santo,Domingo,DO,18.4865,-69.971,Santo Domingo
Rewa,Madhya Pradesh,Sonauri,IN,24.9031,81.8789,Teonthar
Bhola,District Barisal,Bhola,BD,22.262342,90.7141829,Lalmohan Upazila
Hanumangarh,Rajasthan Rawatsar,"",IN,29.2973,74.3371,Rawatsar
Jodhpur,Rajasthan Phalodi,"",IN,27.0811,72.4069,Phalodi
Surendranagar,Gujarat Lakhtar,"",IN,22.7928,71.7272,Lakhtar
